id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
1,현대오일뱅크,삼성동주유소,서울,강남구,서울 강남구 테헤란로 619 (삼성동),1719,1705,1,1,0,0,0,0,37.50985760000000,127.06511010000000
2,SK에너지,(주)보성 세곡주유소,서울,강남구,서울 강남구 헌릉로 731 (세곡동),1723,1663,1,1,0,0,0,0,37.46715650000000,127.11870810000000
3,현대오일뱅크,HD현대오일뱅크㈜직영 산성셀프주유소,서울,강남구,서울 강남구 헌릉로 730,1748,1678,1,1,0,0,0,0,37.46656750000000,127.11908030000000
4,현대오일뱅크,HD현대오일뱅크㈜직영 도곡셀프주유소,서울,강남구,서울 강남구 남부순환로 2718 (도곡2동),1754,1699,1,1,0,1,0,0,37.48546230000000,127.04321810000000
5,GS칼텍스,방죽주유소,서울,강남구,서울 강남구 밤고개로 215 (율현동),1757,1689,1,1,0,0,0,0,37.47499260000000,127.10688660000000
6,SK에너지,자곡셀프주유소,서울,강남구,서울 강남구 밤고개로 120 (자곡동),1757,1679,1,1,0,0,0,0,37.48340020000000,127.10404580000000
7,SK에너지,오일프러스 셀프,서울,강남구,서울 강남구 남부순환로 2651 (도곡동),1764,1704,1,1,0,1,0,1,37.48583900000000,127.03967210000000
8,S-OIL,극동유화㈜ 개나리주유소,서울,강남구,서울 강남구 언주로 423 (역삼동),1765,1705,1,1,0,1,0,1,37.50007760000000,127.03854190000000
9,SK에너지,(주)중앙에너비스 수서지점,서울,강남구,서울 강남구 광평로 202 (수서동),1767,1667,1,1,0,0,0,0,37.48410530000000,127.09504010000000
10,S-OIL,일원주유소,서울,강남구,서울 강남구 양재대로55길 3 (일원동),1767,1699,1,0,0,0,0,0,37.49425010000000,127.09419970000000
11,현대오일뱅크,HD현대오일뱅크㈜직영 유진주유소,서울,강남구,서울 강남구 논현로 152 (도곡동),1769,1714,0,1,0,1,0,0,37.48743160000000,127.03999760000000
12,GS칼텍스,지에스칼텍스㈜에너지플러스허브GS타워,서울,강남구,서울 강남구 논현로 516 (역삼동),1804,1799,1,0,0,1,0,1,37.50270829999999,127.03639560000000
13,S-OIL,(주)선진도곡주유소,서울,강남구,서울 강남구 도곡로 162 (도곡동),1825,1765,0,1,0,1,0,0,37.48782540000000,127.04668760000000
14,SK에너지,SK에너지㈜ 진달래주유소,서울,강남구,서울 강남구 도곡로 208,1825,1739,0,1,0,0,0,0,37.49229500000000,127.04185980000000
15,SK에너지,SK서광주유소,서울,강남구,서울 강남구 역삼로 142,1835,1715,1,1,0,1,0,1,37.49434240000000,127.03509150000000
16,SK에너지,(유)동하석유 힐탑셀프주유소,서울,강남구,서울 강남구 논현로 640,1837,1797,1,1,0,0,0,1,37.51068870000000,127.03256890000000
17,SK에너지,대동석유 압구정주유소,서울,강남구,서울 강남구 언주로 842 (신사동),1857,1797,1,1,0,0,0,1,37.52534310000000,127.03382420000000
18,GS칼텍스,대양산업(주) 개포주유소,서울,강남구,서울 강남구 양재대로 339,1858,1848,1,1,0,0,0,0,37.47224090000000,127.05151340000000
19,SK에너지,대교셀프주유소,서울,강남구,서울 강남구 강남대로 640 (신사동),1890,1840,1,0,0,0,0,1,37.52812920000000,127.03555370000000
20,GS칼텍스,지에스칼텍스㈜ 삼성로주유소,서울,강남구,서울 강남구 삼성로 563 (삼성동),1959,1954,1,1,0,0,0,1,37.51397499999999,127.05612740000000
21,GS칼텍스,지에스칼텍스㈜ 은마주유소,서울,강남구,서울 강남구 영동대로 235,1979,1964,0,1,0,1,0,1,37.50007210000000,127.06728480000000
22,현대오일뱅크,HD현대오일뱅크㈜직영 신사현대주유소,서울,강남구,서울 강남구 도산대로 163 (신사동),1998,1934,0,1,0,0,0,0,37.51952050000000,127.02631710000000
23,GS칼텍스,대성석유(주)동호주유소,서울,강남구,서울 강남구 봉은사로113길 51,2099,1999,0,1,0,0,0,0,37.51848600000000,127.06466550000000
24,GS칼텍스,지에스칼텍스(주)학여울주유소,서울,강남구,서울 강남구 남부순환로 3170 (일원2동),2138,2079,0,1,0,0,0,0,37.49467620000000,127.07783050000000
25,현대오일뱅크,HD현대오일뱅크㈜직영 한양주유소,서울,강남구,서울 강남구 압구정로 302 (신사동),2153,2096,0,1,0,0,0,0,37.52886810000000,127.03410460000000
26,S-OIL,명품주유소,서울,강남구,서울 강남구 도곡로 249 (역삼동),2228,2087,1,1,0,0,0,1,37.49427040000000,127.04550930000000
27,GS칼텍스,(주)소모 쎈트럴주유소,서울,강남구,서울 강남구 삼성로 335,2237,2182,0,1,0,0,0,0,37.50142090000000,127.05914080000000
28,SK에너지,대청주유소,서울,강남구,서울 강남구 개포로 654 (일원동),2326,2196,0,1,0,0,0,0,37.49247370000001,127.08567900000000
29,현대오일뱅크,㈜새서울석유 새서울주유소,서울,강남구,서울 강남구 압구정로 154,2348,2198,0,1,0,0,0,1,37.52583500000000,127.02654220000000
30,SK에너지,SK논현주유소,서울,강남구,서울 강남구 논현로 747 (논현동),2440,2355,0,1,0,1,0,1,37.51863680000000,127.02823800000000
31,현대오일뱅크,(주)제이제이네트웍스 제이제이주유소,서울,강남구,서울 강남구 언주로 716,2560,2450,0,1,0,0,0,1,37.51764720000000,127.03573490000000
32,GS칼텍스,(주)만정에너지 삼보주유소,서울,강남구,서울 강남구 봉은사로 433 (삼성동),2598,2560,0,1,0,0,0,0,37.51152070000000,127.04717160000000
33,현대오일뱅크,재건에너지 재정제2주유소 고속셀프지점,서울,강동구,서울특별시 강동구 천호대로 1246 (둔촌제2동),1729,1659,1,1,0,0,0,0,37.53651330000000,127.14935880000000
34,현대오일뱅크,구천면주유소,서울,강동구,서울 강동구 구천면로 357 (암사동),1744,1655,0,0,0,0,0,0,37.55045980000000,127.13823160000000
35,SK에너지,방아다리주유소,서울,강동구,서울 강동구 동남로 811 (명일동),1765,1695,1,1,0,0,0,0,37.54904450000000,127.15082290000000
36,GS칼텍스,(주)소모 신월주유소,서울,강동구,서울 강동구 양재대로 1323 (성내동),1776,1678,1,1,0,0,0,0,37.53049330000000,127.12899200000000
37,GS칼텍스,대성석유(주)길동주유소,서울,강동구,서울 강동구 천호대로 1168,1776,1678,0,1,0,0,0,0,37.53342290000000,127.14117250000000
38,GS칼텍스,(주)삼표에너지 고덕주유소,서울,강동구,서울 강동구 고덕로 39 (암사동),1799,1719,1,1,0,0,1,0,37.55504900000000,127.12979290000000
